date,pnl,balance,trades,cumulative_return
2021-01-26,-10.53,989.47,1,-1.0529999999999928
2021-04-19,21.07,1010.55,4,1.055000000000006
2021-05-12,-10.69,999.86,1,-0.014000000000002899
2021-05-19,10.58,1010.43,1,1.042999999999994
2021-08-11,-10.7,999.73,1,-0.026999999999999247
2021-09-23,10.5,1010.24,1,1.0240000000000027
2021-12-16,9.7,1019.93,1,1.9930000000000003
2022-01-12,10.29,1030.22,1,3.0220000000000136
2022-02-10,-31.259999999999998,998.96,5,-0.10399999999999299
2022-04-05,20.29,1019.24,2,1.9239999999999924
2022-05-11,0.4900000000000002,1019.74,2,1.974000000000009
2022-06-02,-10.66,1009.08,1,0.9079999999999977
2022-07-05,9.81,1018.89,1,1.8890000000000073
2022-08-05,39.14,1058.02,4,5.801999999999996
2022-08-10,-5.04,1052.98,3,5.298000000000003
2022-09-13,31.39,1084.38,3,8.438000000000013
2022-11-10,32.76,1117.14,3,11.714000000000002
2022-12-13,-0.8200000000000003,1116.31,2,11.630999999999991
2023-01-03,10.91,1127.22,3,12.722000000000012
2023-01-18,10.6,1137.82,1,13.781999999999982
2023-02-03,35.07,1172.89,3,17.289000000000023
2023-02-24,-11.98,1160.91,1,16.09100000000001
2023-02-28,-11.06,1149.85,1,14.984999999999982
2023-03-01,-11.52,1138.33,1,13.832999999999984
2023-04-03,-0.040000000000000924,1138.29,2,13.829000000000002
2023-04-13,-11.57,1126.72,1,12.671999999999993
2023-04-19,10.97,1137.69,1,13.769000000000009
2023-04-21,-11.24,1126.44,1,12.64400000000001
2023-04-26,-11.13,1115.31,1,11.531000000000002
2023-05-05,-0.25,1115.06,2,11.505999999999993
2023-05-10,-10.51,1104.56,1,10.456
2023-05-25,-11.43,1093.13,1,9.313000000000017
2023-05-30,-11.37,1081.76,1,8.176000000000005
2023-05-31,-11.13,1070.63,1,7.063000000000019
2023-06-06,-9.89,1060.74,1,6.074000000000002
2023-06-23,-10.63,1050.1,1,5.009999999999981
2023-07-03,10.84,1060.94,1,6.093999999999999
2023-07-21,10.06,1071.0,1,7.099999999999995
2023-07-25,10.42,1081.42,1,8.142000000000005
2023-08-08,-11.43,1069.98,1,6.997999999999993
2023-08-24,-10.12,1059.86,1,5.98599999999998
2023-08-29,10.329999999999998,1070.19,3,7.0189999999999975
2023-09-05,-21.25,1048.94,4,4.893999999999998
2023-10-26,-0.34999999999999964,1048.59,2,4.858999999999991
2023-10-31,11.17,1059.76,1,5.9760000000000035
2023-11-03,-2.9400000000000013,1056.82,4,5.681999999999987
2023-11-14,51.92,1108.74,5,10.874000000000006
2023-11-22,10.63,1119.36,1,11.935999999999991
2024-02-02,47.72,1167.08,4,16.70799999999999
2024-02-13,47.68,1214.76,6,21.476000000000006
2024-03-06,-12.33,1202.43,1,20.24300000000001
2024-03-21,-11.77,1190.66,1,19.066000000000006
2024-04-05,-11.97,1178.69,1,17.869
2024-04-10,25.78,1204.49,4,20.449000000000005
2024-05-03,-12.14,1192.35,1,19.234999999999978
2024-06-07,0.56,1192.91,1,19.291000000000015
2024-06-12,35.519999999999996,1228.43,9,22.843000000000014
2024-07-11,-36.21,1192.22,3,19.222000000000005
2024-08-02,-11.95,1180.26,1,18.02600000000001
2024-08-15,12.600000000000001,1192.86,3,19.28599999999998
2024-10-04,-0.9299999999999997,1191.93,2,19.193000000000016
2025-02-12,-11.44,1180.48,1,18.048
2025-03-10,-12.69,1167.8,1,16.779999999999994
2025-04-16,-11.37,1156.42,1,15.642
2025-05-12,11.01,1167.43,1,16.742999999999995
2025-07-01,11.72,1179.15,1,17.915000000000013
2025-10-06,-11.82,1167.33,1,16.732999999999997
2025-10-14,11.75,1179.08,1,17.90799999999999
2025-12-01,-1.1199999999999992,1177.96,2,17.796000000000014
2025-12-19,11.31,1189.27,1,18.927000000000007
